Year	tree ring data
1659	314.81
1660	297.92
1661	299.81
1662	266.34
1663	275.95
1664	240.74
1665	217.98
1666	116.53
1667	108.74
1668	119.09
1669	156.45
1670	160.02
1671	1192.8
1672	191.98
1673	205.08
1674	257
1675	260.07
1676	278.51
1677	253.02
1678	236.67
1679	241.77
1680	289.46
1681	333.66
1682	349.95
1683	241.49
1684	170.63
1685	150.57
1686	200.82
1687	198.86
1688	199
1689	213.68
1690	195.85
1691	232.4
1692	272.97
1693	233.41
1694	172.02
1695	172.19
1696	171.89
1697	249.95
1698	260.26
1699	278.54
1700	243.7
1701	257.12
1702	254.43
1703	266.13
1704	223.44
1705	198.23
1706	203.55
1707	176.71
1708	240.96
1709	257.86
1710	324.77
1711	265.97
1712	259.19
1713	216.13
1714	189.85
1715	181.23
1716	222.45
1717	285.95
1718	307.77
1719	325.99
1720	363.39
1721	332.68
1722	288.41
1723	228.31
1724	252.18
1725	268.38
1726	283.3
1727	233.66
1728	218.73
1729	188.19
1730	200.08
1731	172.65
1732	221.05
1733	208.15
1734	256.69
1735	227.74
1736	240.47
1737	202.77
1738	176.88
1739	180.74
1740	208.49
1741	245.17
1742	248.15
1743	293.04
1744	290.01
1745	340.65
1746	322.21
1747	287.75
1748	222.36
1749	309.88
1750	244.63
1751	241.93
1752	189.26
1753	236.86
1754	224.75
1755	183.27
1756	174.8
1757	189.33
1758	235.48
1759	238.79
1760	234.89
1761	216.26
1762	219.29
1763	179.11
1764	217.95
1765	5215.9
1766	250.91
1767	262.28
1768	252.65
1769	283.87
1770	267.51
1771	247.18
1772	192.47
1773	192.75
1774	220.43
1775	205.84
1776	206.55
1777	227.29
1778	228.78
1779	209.41
1780	167.92
1781	204.88
1782	245.08
1783	264.68
1784	248.99
1785	219.53
1786	200.24
1787	197.41
1788	210.36
1789	225.5
1790	279.52
1791	1283.7
1792	307.85
1793	298.84
1794	255.34
1795	210.36
1796	192.73
1797	191.7
1798	196.02
1799	197.58
1800	186.26
1801	206.46
1802	205.72
1803	200.04
1804	199.24
1805	208.6
1806	222.09
1807	212.48
1808	216.68
1809	205.27
1810	220.7
1811	203.53
1812	246.49
1813	319.28
1814	400.44
1815	393.23
1816	301.81
1817	164.34
1818	121.62
1819	155.29
1820	167.75
1821	177.26
1822	159.59
1823	198.81
1824	212.34
1825	261.53
1826	276.77
1827	301.32
1828	259.31
1829	209.71
1830	163.11
1831	1161.2
1832	228.96
1833	305.49
1834	275.99
1835	234.63
1836	192.17
1837	219.67
1838	239.28
1839	264.46
1840	231.37
1841	199.41
1842	196.2
1843	216.21
1844	252.93
1845	231.13
1846	220.91
1847	218.38
1848	256.06
1849	255.11
1850	237.89
1851	228
1852	274.25
1853	253.75
1854	258.51
1855	238.01
1856	255.77
1857	222.27
1858	197.55
1859	163.98
1860	178.47
1861	169
1862	132.25
1863	151.59
1864	177.27
1865	218.47
1866	265.55
1867	289.79
1868	284.52
1869	253.55
1870	189
1871	208.27
1872	184.22
1873	179.16
1874	203.65
1875	231.34
1876	253.77
1877	259.28
1878	238.48
1879	222.29
1880	232.74
1881	239.53
1882	227.78
1883	243.45
1884	237.33
1885	246.49
1886	209.87
1887	251.34
1888	225.05
1889	221
1890	174.63
1891	166.11
1892	162.32
1893	185.74
1894	165.45
1895	168.41
1896	218.08
1897	249.38
1898	237.98
1899	207.76
1900	216.73
1901	269.76
1902	212.42
1903	258.18
1904	205
1905	327.21
1906	313.19
1907	303
1908	206.73
1909	169.22
1910	183.84
1911	261.15
1912	268.66
1913	274.91
1914	285.37
1915	264.51
1916	238.79
1917	230.33
1918	246.95
1919	305.29
1920	264.03
1921	204.38
1922	211.51
1923	159.66
1924	158.54
1925	127.85
1926	219.17
1927	242.91
1928	254.27
1929	257.42
1930	242
1931	280.11
1932	228.47
1933	203.41
1934	143.44
1935	212.84
1936	198.68
1937	156.37
1938	153.54
1939	163.72
1940	253.5
1941	279.85
1942	269.33
1943	259.08
1944	224
